initamp1,initamp2,finalamp1,finalamp2,finalenergy,
1.168005456,-2.374472468,1.168005456,5.125527532,-77.93590506,18
1.168005456,5.125527532,1.168005456,5.125527532,-77.93590551,18
-1.727712546,-0.882044184,-1.102712546,-0.882044184,-77.92628842,18
-1.102712546,-0.882044184,1.397287454,-0.882044184,-77.92883775,18
-2.89039697,-4.202572156,-0.39039697,-4.202572156,-77.93067348,14
-0.39039697,-4.202572156,-0.70289697,-4.202572156,-77.93069562,15
0.015829089,-0.644854764,-4.984170911,-1.113604764,-77.9133839,15
-4.984170911,-1.113604764,-4.984170911,-1.113604764,-77.93167531,15
4.907743424,-3.876332111,3.032743424,-3.876332111,-77.90729973,13
3.032743424,-3.876332111,3.032743424,-3.876332111,-77.9261792,15
1.504752813,0.963897569,-0.995247187,8.463897569,-77.92880277,16
-0.995247187,8.463897569,-0.995247187,8.463897569,-77.92880717,16
0.515626686,0.643646189,-0.109373314,8.143646189,-77.93222727,16
-0.109373314,8.143646189,-0.109373314,8.143646189,-77.93223718,16
4.033601592,0.200338056,3.721101592,4.887838056,-77.91848071,15
3.721101592,4.887838056,3.096101592,4.887838056,-77.9201515,17
-1.785270749,2.180910321,3.214729251,-1.569089679,-77.93392293,16
3.214729251,-1.569089679,3.214729251,-1.569089679,-77.93392791,16
2.370794443,-2.882022553,3.642738596,4.657667613,-77.93090958,18
3.642738596,4.657667613,3.017738596,4.657667613,-77.93453099,17
-1.720876362,-0.911684884,-1.095876362,-0.911684884,-77.92824781,18
-1.095876362,-0.911684884,1.404123638,-0.911684884,-77.92948576,18
2.52613084,-1.244394506,0.02613084,-1.244394506,-77.93431495,18
0.02613084,-1.244394506,0.02613084,-1.244394506,-77.93431985,18
-0.216935394,-0.478758429,4.783064606,-0.947508429,-77.91555068,15
4.783064606,-0.947508429,4.783064606,-0.947508429,-77.92765749,15
-1.156923259,1.183069444,-1.156923259,8.683069444,-77.92878629,16
-1.156923259,8.683069444,-1.156923259,8.683069444,-77.92877652,16
-0.993540074,-2.71954532,-0.993540074,8.53045468,-77.93284792,17
-0.993540074,8.53045468,-0.993540074,8.53045468,-77.93286111,16
-0.648096543,0.810008157,0.634371124,8.362758154,-77.93515427,15
0.634371124,8.362758154,0.634371124,8.362758154,-77.93515719,16
-1.130550276,0.710992643,0.119449724,8.210992643,-77.93476683,15
0.119449724,8.210992643,0.119449724,8.210992643,-77.93476648,16
3.057730099,-1.118711975,-0.699603038,-1.167535396,-77.93478247,18
-0.699603038,-1.167535396,-0.699603038,-1.167535396,-77.93478222,18
-2.398999654,-0.794706006,0.101000346,6.705293994,-77.931525,16
0.101000346,6.705293994,0.101000346,6.705293994,-77.93151392,17
0.802260992,0.956857703,0.802260992,8.456857703,-77.93588511,16
0.802260992,8.456857703,0.802260992,8.456857703,-77.93588224,16
0.031091499,-0.007467576,0.031091499,1.867532424,-77.93276461,18
0.031091499,1.867532424,0.031091499,1.867532424,-77.93275074,18
-4.148017899,-0.711707548,0.829910845,4.965817348,-77.92674034,18
0.829910845,4.965817348,0.829910845,8.715817348,-77.93524547,17
0.59473143,1.017902032,-0.65526857,8.517902032,-77.93176172,15
-0.65526857,8.517902032,-0.65526857,8.517902032,-77.93177409,16
-2.433010081,-0.261836722,-1.808010081,5.363163278,-77.91772815,17
-1.808010081,5.363163278,0.69011247,3.427632855,-77.92837529,18
2.16264165,0.532542981,-2.21235835,-1.342457019,-77.91643566,17
-2.21235835,-1.342457019,0.28764165,-1.342457019,-77.92588148,16
2.572508771,-3.175048247,3.842358845,4.336147888,-77.90812797,17
3.842358845,4.336147888,3.842358845,4.336147888,-77.90816602,16
0.949595993,0.611199658,-0.300404007,8.111199658,-77.92711726,17
-0.300404007,8.111199658,-0.300404007,8.111199658,-77.92711135,17
0.245673926,-0.482810998,-4.754326074,-0.951560998,-77.91549046,15
-4.754326074,-0.951560998,-4.754326074,-0.951560998,-77.9267117,15
0.821553976,0.010365264,-0.428446024,3.760365264,-77.89342705,16
-0.428446024,3.760365264,-0.428446024,1.885365264,-77.90555844,18
-0.978557733,0.327939867,-0.978557733,9.702939867,-77.90158864,17
-0.978557733,9.702939867,0.271442267,9.702939867,-77.92792536,15
