initamp1,initamp2,finalamp1,finalamp2,finalenergy,
-0.134139413,-0.990962471,0.991885987,-0.995814207,-77.93135091,23
0.991885987,-0.995814207,0.991885987,-0.995814207,-77.93136539,21
0.007874965,-0.999968992,-0.992125035,-0.999968992,-77.93158751,21
-0.992125035,-0.999968992,-0.992125035,-0.999968992,-77.93158449,21
0.553503015,-0.832847173,0.81069382,-0.861110084,-77.91048787,22
0.81069382,-0.861110084,0.988363949,-1,-77.93152328,24
0.838437932,0.544997096,-0.00143034,0.244370633,-77.9282323,22
-0.00143034,0.244370633,-0.00143034,0.369370633,-77.93467435,23
-0.517311468,-0.855797198,-1,-1,-77.93171036,23
-1,-1,-1,-1,-77.93170732,21
-0.982670142,0.185362865,0.002024433,0.385844487,-77.93429813,23
0.002024433,0.385844487,0.002024433,0.385844487,-77.93428991,23
-0.636761094,0.771061158,-0.008842783,0.423976131,-77.93227254,23
-0.008842783,0.423976131,-0.008842783,0.298976131,-77.93304581,23
0.659093134,-0.752061328,0.918765212,-0.777845793,-77.90470132,22
0.918765212,-0.777845793,1,-1,-77.93170917,23
-0.371237115,-0.928538101,0.953721035,-1,-77.93093701,21
0.953721035,-1,0.984971035,-1,-77.93148101,23
-0.812031251,-0.583613955,-0.824702856,-0.85556576,-77.91040313,22
-0.824702856,-0.85556576,-0.99740184,-1,-77.93167596,24
-0.507788462,-0.861481792,-1,-1,-77.93170149,21
-1,-1,-1,-1,-77.93169299,21
-0.844627398,-0.53535461,-0.857852661,-0.806395632,-77.90479411,22
-0.857852661,-0.806395632,-1,-1,-77.93170035,23
0.468581887,-0.883420068,-1,-1,-77.9317001,23
-1,-1,-1,-1,-77.93171192,21
0.820581076,0.571530137,0.029049372,0.407760047,-77.93304734,22
0.029049372,0.407760047,0.029049372,0.345260047,-77.93441627,23
0.999625584,-0.027362233,-0.000374416,0.472637767,-77.92758813,25
-0.000374416,0.472637767,-0.000374416,0.347637767,-77.93474295,23
-0.128677621,0.991686478,-0.015881828,0.309941124,-77.93356675,23
-0.015881828,0.309941124,-0.015881828,0.372441124,-77.93453873,23
0.25473207,-0.967011671,-0.996632317,-0.974395097,-77.93016912,23
-0.996632317,-0.974395097,-0.996632317,-0.990020097,-77.93111481,22
-0.69319621,0.720748926,0.050104777,0.225210738,-77.92497282,22
0.050104777,0.225210738,0.009958106,0.367317854,-77.93466977,23
0.958804508,0.284066746,-0.041195492,0.409066746,-77.93267947,23
-0.041195492,0.409066746,-0.041195492,0.346566746,-77.93413003,23
-0.957116775,-0.289702396,-1,-1,-77.93171,21
-1,-1,-1,-1,-77.93170209,21
-0.412421184,-0.910993286,0.907877153,-1,-77.9300783,21
0.907877153,-1,0.971246864,-1,-77.93125973,23
0.318391419,-0.947959337,-0.930475796,-1,-77.93053424,21
-0.930475796,-1,-0.993793112,-1,-77.93160571,23
-0.203974424,-0.978976218,0.977032878,-1,-77.93133603,21
0.977032878,-1,0.992657878,-1,-77.9316021,22
0.565303588,0.824882933,-0.176864686,0.326762605,-77.92342373,23
-0.176864686,0.326762605,0.008645516,0.378679654,-77.93446968,23
-0.957296184,-0.289109004,-1,-1,-77.93169964,21
-1,-1,-1,-1,-77.93169659,21
-0.672691841,-0.739922758,-1,-1,-77.93169956,22
-1,-1,-1,-1,-77.93170003,21
-0.406137132,0.913812142,0.329831989,0.415541187,-77.90006118,21
0.329831989,0.415541187,0.032945675,0.322196833,-77.9337712,23
0.99955764,0.02974097,0.99955764,-0.985884031,-77.93092413,22
0.99955764,-0.985884031,0.99955764,-0.985884031,-77.93092371,21
-0.979153698,-0.203120744,0.020846302,0.359379256,-77.93461525,23
0.020846302,0.359379256,0.020846302,0.359379256,-77.93461522,23
