initamp1,initamp2,finalamp1,finalamp2,finalenergy,
-0.00010067,0.08136479,-0.00010067,1.95636479,-77.9343002,18
-5.69E-05,0.081378863,-5.69E-05,1.956378863,-77.93429924,18
-0.00011332,0.0813654,-0.00011332,1.9563654,-77.93430027,18
-8.15E-05,0.081377729,-8.15E-05,1.956377729,-77.93429965,18
0.0001151,0.08136852,0.0001151,1.95636852,-77.93430027,18
6.75E-05,0.081378607,6.75E-05,1.956378607,-77.9342994,18
-0.00013549,0.08135638,-0.00013549,1.95635638,-77.93429951,18
2.05E-05,0.081378673,2.05E-05,1.956378672,-77.93429898,18
