initamp1,initamp2,finalamp1,finalamp2,finalenergy,
0.646886532,-0.762586267,0.90624867,-0.788695367,-77.90546551,22
0.90624867,-0.788695367,1,-1,-77.93170561,23
-0.98347435,0.181047513,0.001848673,0.389367884,-77.93416988,23
0.001848673,0.389367884,0.001848673,0.326867884,-77.93433282,23
-0.695586038,-0.718442805,-1,-1,-77.93170588,22
-1,-1,-1,-1,-77.93170575,21
0.688498469,0.725237795,-0.054723524,0.2295758,-77.92537815,22
-0.054723524,0.2295758,-0.053259633,0.359212499,-77.9337685,23
0.675701533,0.737175311,-0.067328787,0.24118288,-77.9262566,22
-0.067328787,0.24118288,-0.065329626,0.37101291,-77.93315859,23
0.491654577,-0.870790318,-1,-1,-77.93170572,23
-1,-1,-1,-1,-77.93170563,21
0.315217232,0.949019545,-0.048557554,0.333678735,-77.93367381,25
-0.048557554,0.333678735,0.013942446,0.333678735,-77.93444883,23
0.99665349,0.081742401,0.998144854,-0.98446437,-77.93082009,23
0.998144854,-0.98446437,0.998144854,-0.98446437,-77.93082008,21
0.136380846,-0.990656482,-0.98965297,-0.995522233,-77.93130677,23
-0.98965297,-0.995522233,-0.98965297,-0.995522233,-77.93130697,21
0.532966575,0.846136295,0.030421514,0.461051071,-77.92863508,25
0.030421514,0.461051071,0.030421514,0.336051071,-77.93423964,23
0.497036224,-0.867729792,-1,-1,-77.93170561,23
-1,-1,-1,-1,-77.93170582,21
-0.481022671,0.876708156,0.022659729,0.448609531,-77.930047,25
0.022659729,0.448609531,0.022659729,0.323609531,-77.93404331,23
0.240245263,0.97071222,-0.01481336,0.467474137,-77.92813703,23
-0.01481336,0.467474137,-0.01481336,0.342474137,-77.93460548,23
-0.987406792,0.158201856,-1,-1,-77.9317056,23
-1,-1,-1,-1,-77.93170566,21
-0.790277332,-0.612749328,-0.802482234,-0.885204807,-77.91369839,22
-0.802482234,-0.885204807,-0.987266206,-1,-77.93151358,24
0.318338936,-0.947976963,-0.914166585,-1,-77.93020779,21
-0.914166585,-1,-0.977519622,-1,-77.93135912,23
0.995071741,0.099157607,0.996746918,-0.998606499,-77.93158469,24
0.996746918,-0.998606499,0.996746918,-0.998606499,-77.9315846,21
0.37722581,-0.926121314,-0.905850367,-1,-77.93003894,21
-0.905850367,-1,-0.9692231,-1,-77.93122253,23
-0.340929094,-0.940089013,0.906444937,-1,-77.93005111,21
0.906444937,-1,0.969816386,-1,-77.93123224,23
0.158426175,-0.987370826,-0.967680716,-0.992526517,-77.93075256,23
-0.967680716,-0.992526517,-0.998930716,-0.992526517,-77.93129163,23
0.556267366,-0.83100338,0.813514358,-0.85920729,-77.91036256,22
0.813514358,-0.85920729,0.995159985,-1,-77.93163387,24
-0.488592359,0.872512182,0.01392222,0.45415034,-77.92959743,25
0.01392222,0.45415034,0.01392222,0.32915034,-77.93433163,23
-0.643086696,0.765793381,0.003189501,0.419116517,-77.93263363,23
0.003189501,0.419116517,0.003100808,0.416364658,-77.93281445,23
-0.753636075,0.657291918,-0.139367791,0.338135657,-77.92778918,22
-0.139367791,0.338135657,0.004053901,0.36946977,-77.93466945,23
0.1430826,0.98971075,0.003833657,0.293040951,-77.93268595,23
0.003833657,0.293040951,0.003718333,0.295758339,-77.93286235,23
0.295930595,0.955209445,-0.017076082,0.333902684,-77.93441911,25
-0.017076082,0.333902684,-0.017076082,0.333902684,-77.9344192,23
0.852200163,0.523215903,-0.00242228,0.264765077,-77.93040612,22
-0.00242228,0.264765077,-0.00242228,0.389765077,-77.93415473,23
-0.600246723,-0.799814898,-0.858489409,-0.82708491,-77.90814228,22
-0.858489409,-0.82708491,-0.99977044,-1,-77.93170226,23
-0.997551863,0.069930539,-0.998921832,-0.996064148,-77.93148317,23
-0.998921832,-0.996064148,-0.998921832,-0.996064148,-77.9314831,21
