0.6743132085,-0.7384454596,1,-1,-77.93170561,31
1,-1,1,-1,-77.93170561,21
0.4630850666,-0.8863138389,-1,-1,-77.93170565,29
-1,-1,-1,-1,-77.93170565,21
-0.04419459751,0.9990229415,-0.001352468088,0.3777997412,-77.93451484,35
-0.001352468088,0.3777997412,-0.001352468088,0.3465497412,-77.9347319,33
0.9492818579,0.3144263892,-0.01070521041,0.3620672781,-77.93471465,33
-0.01070521041,0.3620672781,0.004919789587,0.3620672781,-77.93474662,33
0.9944601843,-0.1051139467,-0.005539815676,0.3948860533,-77.93394617,33
-0.005539815676,0.3948860533,-0.00184495915,0.355240743,-77.93477572,33
0.6522449179,0.7580082896,-0.01753103074,0.3499196255,-77.93464988,33
-0.01753103074,0.3499196255,0.01371896926,0.3499196255,-77.93469233,33
-0.1585588607,-0.9873495266,0.9950432061,-1,-77.93163216,33
0.9950432061,-1,0.9950432061,-1,-77.93163216,21
-0.8099565636,-0.5864898679,-1,-1,-77.93170565,32
-1,-1,-1,-1,-77.93170565,21
-0.3914727095,-0.9201897183,0.9833110825,-1,-77.93145158,31
0.9833110825,-1,1,-1,-77.93170561,29
0.04611672711,0.9989360578,0.0009620899991,0.3822646484,-77.93439906,35
0.0009620899991,0.3822646484,0.0009620899991,0.3510146484,-77.93476511,33
