init1,init2,init3,init4,init5,init6,init7,init8,init9,init10,init11,init12,init13,init14,init15,init16,fin1,fin2,fin3,fin4,fin5,fin6,fin7,fin8,fin9,fin10,fin11,fin12,fin13,fin14,fin15,fin16,fvalues,iters
-0.01984448504,-0.04107483985,0.3674707863,-0.2279183983,0.3175701218,0.4315790197,0.1142584535,-0.2078275581,-0.913356502,-0.283697366,-0.5214502132,-0.2324708052,0.9316929411,-0.417535049,-0.8315322848,-0.4383892414,-0.01984448504,0.9589251601,-0.1325292137,-0.2279183983,0.3175701218,0.4315790197,0.1142584535,-0.2078275581,-0.913356502,-0.283697366,-0.5214502132,-0.2324708052,0.9316929411,-0.417535049,-0.8315322848,-0.4383892414,-1.016984598,53
-0.01984448504,0.9589251601,-0.1325292137,-0.2279183983,0.3175701218,0.4315790197,0.1142584535,-0.2078275581,-0.913356502,-0.283697366,-0.5214502132,-0.2324708052,0.9316929411,-0.417535049,-0.8315322848,-0.4383892414,-0.01984448504,0.9589251601,-0.1325292137,-0.2279183983,0.3175701218,0.9315790197,0.1142584535,-0.2078275581,-0.913356502,-0.283697366,-0.5214502132,-0.2324708052,0.9316929411,0.582464951,-0.8315322848,-0.4383892414,-1.020378059,52
-0.01984448504,0.9589251601,-0.1325292137,-0.2279183983,0.3175701218,0.9315790197,0.1142584535,-0.2078275581,-0.913356502,-0.283697366,-0.5214502132,-0.2324708052,0.9316929411,0.582464951,-0.8315322848,-0.4383892414,-0.01984448504,0.9589251601,-0.1325292137,-0.2279183983,0.3175701218,0.9315790197,0.1142584535,-0.2078275581,-0.413356502,0.716302634,-0.5214502132,-0.2324708052,-0.06830705892,0.582464951,-0.8315322848,-0.4383892414,-1.023392305,81
0.1965296456,-0.1765642777,0.129161457,-0.174468894,0.08835274093,-0.4825652565,0.7337142156,0.04625722119,-0.5404458857,0.3543233592,0.0221884848,0.2842191633,-0.3516116508,0.1162677055,0.6200493591,-0.05675864578,0.4031668366,-0.02195182899,-0.5385682259,-0.6548108217,0.08835265098,-0.5957725109,0.9213870823,0.07278978324,-0.3702545069,0.3239723883,0.02218805353,0.2842188516,-0.5392849229,0.1830710322,0.6200489379,-0.1699656732,-0.9895291679,53
0.4031668366,-0.02195182899,-0.5385682259,-0.6548108217,0.08835265098,-0.5957725109,0.9213870823,0.07278978324,-0.3702545069,0.3239723883,0.02218805353,0.2842188516,-0.5392849229,0.1830710322,0.6200489379,-0.1699656732,0.9031668366,-0.02195182899,-0.5385682259,-0.6548108217,0.08835265098,0.4042274891,0.9213870823,0.07278978324,-0.3702545069,0.3239723883,0.02218805353,0.2842188516,-0.5392849229,0.1830710322,0.6200489379,-0.1699656732,-1.014564215,52
0.9031668366,-0.02195182899,-0.5385682259,-0.6548108217,0.08835265098,0.4042274891,0.9213870823,0.07278978324,-0.3702545069,0.3239723883,0.02218805353,0.2842188516,-0.5392849229,0.1830710322,0.6200489379,-0.1699656732,0.9031668366,-0.02195182899,-0.5385682259,-0.4048108217,0.08835265098,0.4042274891,-1.078612918,-0.4272102168,-0.3702545069,0.3239723883,0.02218805353,0.2842188516,-0.5392849229,0.1830710322,0.6200489379,-0.1699656732,-1.02476887,82
0.4807117321,-0.3952665516,-0.2065988501,0.3184839447,0.4393006358,-0.3144059173,0.7656489093,0.4925678649,0.1084387363,0.1698852993,0.8719660058,0.02184624033,-0.8551555569,-0.330897728,-0.5239754831,-0.4143071654,0.4807117321,0.6047334484,-0.2065988501,0.3184839447,0.4393006358,-0.3144059173,0.7656489093,0.4925678649,0.1084387363,0.1698852993,0.8719660058,0.02184624033,-0.8551555569,-0.330897728,-0.5239754831,-0.4143071654,-1.011241475,51
0.4807117321,0.6047334484,-0.2065988501,0.3184839447,0.4393006358,-0.3144059173,0.7656489093,0.4925678649,0.1084387363,0.1698852993,0.8719660058,0.02184624033,-0.8551555569,-0.330897728,-0.5239754831,-0.4143071654,0.4807117321,0.6047334484,-0.2065988501,0.3184839447,0.4393006358,-0.3144059173,0.7656489093,0.4925678649,1.108438736,-0.8301147007,0.8719660058,0.02184624033,-0.8551555569,-0.330897728,-0.5239754831,-0.4143071654,-1.018331268,52
0.4807117321,0.6047334484,-0.2065988501,0.3184839447,0.4393006358,-0.3144059173,0.7656489093,0.4925678649,1.108438736,-0.8301147007,0.8719660058,0.02184624033,-0.8551555569,-0.330897728,-0.5239754831,-0.4143071654,0.4807117321,0.6047334484,-0.2065988501,0.3184839447,0.4393006358,-0.3144059173,0.7656489093,0.2425678649,1.108438736,-0.8301147007,0.8719660058,-0.9781537597,-1.855155557,-0.330897728,-0.5239754831,-0.4143071654,-1.021159212,80
0.4239703181,0.343915475,-0.3344940166,0.1983623787,0.9856282778,-0.3005757182,0.5760335251,-0.4465164744,0.8188348488,-0.1678619538,-0.1121295374,-0.3109847241,-0.5390854136,0.2210761335,0.08351724379,-0.385265175,0.5946164692,0.4303060306,-0.4610269548,0.4195234499,0.9856267325,-0.4138040431,0.621023258,-0.4828577473,0.8010715681,-0.1558743092,-0.1121291223,-0.3109838489,-0.5840735211,-0.7930897311,0.08351476874,-0.4984933601,-1.020730396,51
